licensetype	businessname	legaldescription	description	subtype	job_value
	ALL ACCESS HEATING&MECH		REPLACE FURNACE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	REED WRIGHT HTG & ELEC CO INC		INSTALLATION OF A NEW 96% EFF GAS FURNACE GAS TO GAS	SINGLE FAMILY / DUPLEX	
	LIDO DESIGN LLC		1000 sf 3rd-floor addition to existing 2-story SFR including 2 bedrooms, 2 bathrooms, laundry area and office area. New floor and roof structure along this addition over existing footprint of 2nd level. NO GROUND DISTURBANCE. NO ECA.	SINGLE FAMILY / DUPLEX	$0.00
GENERAL CONTRACTOR LICENSE	CARLISLE CLASSIC HOMES LLC	N 10.5 FT OFLT 9 & S 31.5 FT OF LT 10 & POR VAC ALLEY ADJ , BLK 1, MOSS JOAN ADD	Construct a 2-story addition and alterations to single family residence, per plans.	SINGLE FAMILY / DUPLEX	$130,000.00
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	NORTHWEST ELECTRIC & SOLAR LLC		WIRE NEW CONSTRUCTION. PR 6/24/2015: ADD 300 AMP SERVICE (REMOVE 126-200AMP SERVICE) 9/10/2014 ADD 90 AMP FEEDER DWM.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	INTEGRITY ENERGY SYSTEMS LLC		INSTALL 2 DUCTLESS HEAT PUMP SYSTEMS	SINGLE FAMILY / DUPLEX	
	TOM ROTH	PARCEL B, SP #3016241	Establish use and construct a single family residence w/attached garage, per plans	SINGLE FAMILY / DUPLEX	$328,649.00
ELECTRICAL CONTRACTOR LICENSE	MILESTONE ELECTRIC		REPLACE ALL OUTLETS TO TR, EXTEND EXISTING CIRCUITS IN ATTIC TO REPLACE 6 KNOB AND TUBE OUTLETS WITH GROUNDED ROMEX.	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	PEACEFIELD CONSTRUCTION CORP		TIE SANITARY WITH EXISTING SANITARY FOR 8437 44TH AV S COMBINED STORM DRAINS FROM 8433 & 8439 44TH AV S & DIRECT CONNECT TO 44TH AV MAIN.	SINGLE FAMILY / DUPLEX	
	RESPONSE INC		Reestablish permit #6095925	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL	SHANNON HEIGHTS HEATING		INSTALL A/C	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	SHANNON HEIGHTS HEATING		CIRCUIT FOR AIR CONDITIONING AND A GFI	SINGLE FAMILY / DUPLEX	
	AP URBAN DEV LLC 1321 N 45TH		Demolish existing commercial structure, per plot plan subject to field inspection (STFI)	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	THYSSENKRUPP ELEVATOR CORP		INSTALL NEW ELECTRIC DOOR EDGE		
GENERAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	DOVETAIL INC		TI to existing commercial space, subject to field inspection (STFI). Molly Moon's Homemade Icecream.	COMMERCIAL	$50,000.00
	JOHN YECKEL	LOTS 1 THRU 5, BLK 1, SHELTON'S ADDITION, EXCEPT E 20' OF LTS 4 & 5 THEREOF	Add new thru-wall ATM to Washington Federal branch bank, per plans	COMMERCIAL	$20,000.00
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	WILLIAMS MECHANICAL INC		Type 1 kitchen hood, exhaust only, with fire suppression by others, installed in existing QFC store, per plans.	COMMERCIAL	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, REFRIGERATION CONTRACTOR LIC.	FISCHER PLUMBING CO INC, THE		SPOT REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	CAPITAL LIGHTING COMPANY INC		SEATTLE CITY LIGHT COMMON AREA RETROFIT PROGRAM	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	BERRY NEON CO INC		INSTALL (1) PROJECTING SIGN - KENNEY BLDG	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	MIKE'S NEON SIGNS		MOUNT CHANNEL LETTERS W/ NEON ON RACEWAY TO TOP OF EXISTING STEEL AWNING - 4 TOTAL SIGNS	COMMERCIAL	
	PERFORMANCE SYSTEMS		30 DAY GET STARTED FOR F/A TI IN LAURELHURST ELEMENTARY. JOINT VENTURE W/ PACFIC COAST ELEC CONTRACTORS & PERFORMANCE SYSTEMS INTEGRATION. REFERENCE PLANS 6220567. 8/6/09 mvc: EXTEND	COMMERCIAL	
SPECIALTY CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	ON-GRADE EXCAVATING		NEW SS CONNECTION TO SS W/1608; USE EXISTING SS AFTER EVALUATION; NO CONN FROM DUPLEX UNTIL JMA IS RETURNED. ASSOCIATED CONSTRUCTION AP#6317486.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	HAWKEYE ELECTRIC LLC		WIRE IN SMOKE DETECTORS AND INSTALL, WIRE LIVING ROOM, INSTALL 2-6' CAN LIGHTS AND FAN IN BATH, REMOVED MOST KNOB AND TUBE WIRE IN ATTIC, REPLACE ALL DEVICES UP STAIRS, INSTALL BOXES FOR CIELING LIGHTS. REPLACE CONDUIT FOR SERVICE AND INSTALL NEW FEEDERS FOR A 125 AMP PANEL. INSTALL METER CAN. 1/3/2012 BEW ADDED 125 AMP FEEDER. 1/4/12 JCB; ADD (30) RECEPTS, (9) 15-25 AMP CKTS - CHANGED 125 AMP FEEDERS TO BE (1) 125 AMP SERVICE INSTEAD.	SINGLE FAMILY / DUPLEX	
	DUET DESIGN & BUILD, LLC	LOT B, SP 76-68, RECORDING #7608180542,DAF: LT 5, BLK 14, TGW E 1/2 OF VAC ST	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Alterations to basement in existing single family residence per floor plan and subject to field inspection	SINGLE FAMILY / DUPLEX	$70,000.00
	KARL FLACCUS	LOT 8, BLOCK 5, VIEW RIDGE PARK # 2	Construct alterations, addition and accessory dwelling unit in an existing single family residence, per plans	SINGLE FAMILY / DUPLEX	$53,000.00
	JACKSON REMODELING	W 5' OF LT 9, ALL OF LT 10 & E 10' LT 11, BLK 16, LAKE UNION 2ND ADD	Voluntary seismic retrofit to basement and crawlspace of single family residence, per plan.	SINGLE FAMILY / DUPLEX	$3,500.00
ELECTRICAL CONTRACTOR LICENSE	SME INC OF SEATTLE		SME WILL RUN ONE 20A DEDICATED CIRCUIT FOR FOOD WARMER IN KITCHEN.	SINGLE FAMILY / DUPLEX	
LOW VOLTAGE CONTRACTOR LICENSE, LOW VOLTAGE CONTRACTOR LICENSE	FIRE SYSTEMS WEST INC		Stand alone sprinkler	COMMERCIAL	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, REFRIGERATION CONTRACTOR LIC.	FISCHER PLUMBING CO INC, THE		INSTALL A CURB WEEP	SINGLE FAMILY / DUPLEX	
	INTEGRUS ARCHITECTURE	LOTS 1-6 INCL. & LOTS 15-20 INCL.,BLOCK 11, BLACKMAR'S SUPPL. PLAT OF WOODLAND ADDN	Change use of a portion of existing church to private school (Kapka Cooperative School), and occupy per plan.	COMMERCIAL	$100,000.00
	HANK & AMY BARRETT	THE E 32 FT OF LOT 3 & W 16 FT OF 4, BLOCK 9, DENNYS ADD TO BALLARD & SEATTLE	Remove existing and construct new detached garage accessory to single family residence, per plan.	SINGLE FAMILY / DUPLEX	$50,848.00
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	SELECT AIR SERVICE		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL	BEL RED ENERGY SOLUTIONS		INSTALL GAS FIREPLACE INSERT	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, REFRIGERATION CONTRACTOR LIC.	FISCHER PLUMBING CO INC, THE		EMERGENCY SPOT REPAIR	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	JIM DANDY SEWER & PLUMBING		INSTALL 6&quot; CLEAN OUT	MULTIFAMILY	
GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	KINGS HEATING INCORPORATED		HEAT PUMP INSTALLATION	SINGLE FAMILY / DUPLEX	
	DUPL OLSON KUNDIG ARCHITECTS	LOT 16, BLOCK 159,(RE-PLAT OF BLOCKS 65,66,158,158) GILMAN PARK ADD	Land Use Paid Coaching - Addition of permitted use office and residential use above existing printing press company in an IB U/45zone	COMMERCIAL	$0.00
	CASTANES ARCHITECTS	THE S 1/2 OF LOT 3 & ALL OF LOT 4, BLOCK 12, VIEW RIDGE DIV NO. 05	Establish use as and construct a single family dwelling with attached carport, per plan.	SINGLE FAMILY / DUPLEX	$413,436.00
	TERRY MULHOLLAND		Second story addition plus interior main floor remodel	SINGLE FAMILY / DUPLEX	$0.00
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL	BOB'S HEATING & A/C INC		REPLACE GAS FURNACE	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	FOX PLUMBING & HEATING		REPAIR SIDE SEWER ON PUBLIC PROPERTY	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	ON-GRADE EXCAVATING		NEW SS CONN TO MAIN; DRAIN PER GSI TO CURB.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	EXACT ELECTRIC LLC		WIRE RECEPTACLES INTO NEW WALLS	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	JOLLY HOMES INC		Revision to raise height under new LR zone for, Construct 1 duplex with attached garage per plan (NE Bldg) (Review & Processing for 4 A/Ps under 6274516)	SINGLE FAMILY / DUPLEX	
	ADVANCE REMODEL SOLUTIONS, LLC	LOT 6, BLOCK 6, BALLARDS ADD TO GILMAN PARK	Construct basement and 1st floor addition to single family residence, per plan.	SINGLE FAMILY / DUPLEX	$80,000.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	MCKINSTRY COMPANY LLC		Install split-system ACU, exhaust fan, louvers, fire/smoke dampers, and accessories to serve Uninterruptable Power Source Room in garage.	COMMERCIAL	
	COSCO FIRE PROTECTION INC		GET STARTED PENDING PLANS 6289634 FOR MCDONALD ELEMENTARY SCHOOL. JOINT VENTURE WITH WESTERN PACIFIC ELECTRIC & COSCO FIRE PROTECTION	COMMERCIAL	
	HUNNY CONSTRUCTION, INC	LOT 5, BLOCK 54, RAINIER BEACH ADD & POR VAC ST	Establish use as and construct a single family residence w/ attached garage, per plans.	SINGLE FAMILY / DUPLEX	$393,898.00
	HOSHIDE WANZER ARCHITECTS	TRACTS 9, 10, 12 & 17, TGW S 115' OF TRACT 7, RAINIER BEACH GARDEN TRACTS, EXC POR CONDEMNED FOR STREET	REVISION Site drainage revision (Construct covered viewing platform accessory to existing park (Kubota Garden) per plans)	COMMERCIAL	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL	INNOVATIVE COMFORT SYSTEMS INC		INSTALL LINESETS FOR MITSUBISHI HEAT PUMP	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	CORNERSTONE CONST/SEATTLE INC		INSTALLING 4 DS AROUND BLDG & CONNECT TO DETENTION SYSTEM. DISCHARGE TO SEWER AT PL. INSTALLING SS TO MAIN.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	EVERGREEN POWER SYSTEMS, INC		JOB#2761 WAR-0915 INSTALL EV CHARGING STATION	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., LOW VOLTAGE CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, GENERA	CO-OP A/C & HEATING LLC		INSTALL DUCTLESS HEAT PUMP	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	GENE JOHNSON PLUMBING & HEATNG		INSTALL A CLEAN OUT	SINGLE FAMILY / DUPLEX	
	JOHN TORRENCE	LTS 15-16, BLK 45,GILMAN PARK	Construct interior alterations for community center (Urban Rest Stop) at southwest corner of first floor in existing mixed-use building, and occupy per plan	INSTITUTIONAL	$375,000.00
	CARON ARCHITECTURE	LOT 9 , BLOCK 53, GILMAND PARK BLKS 50-94	Land Use Application to allow a 6-story structure containing 48 residential units. No parking proposed. Existing structures to be demolished.	MULTIFAMILY	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	SUPERIOR EARTHWORKS LLC		REPAIR SEWER ON PROPERTY. 4/16/14 CPG ADD R/W (STAGING PER SDOT)	MULTIFAMILY	
REFRIGERATION CONTRACTOR LIC., LOW VOLTAGE CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, GENERA	CO-OP A/C & HEATING LLC		INSTALL WHOLE HOUSE HEAT PUMP	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC.	DCLU WAIVE LICENSE CHECK		INSTALL REFER FOR HEAT PUMP	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., SPECIALTY CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	NELSON HEATING LLC		REPLACING EXISTING FURNACE W/ NEW	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	FOX PLUMBING & HEATING		SIDE SEWER REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	G & S HEATING COMPANY INC		INSTALL GAS FURNACE.	SINGLE FAMILY / DUPLEX	
	TRIPLE POINT LLC	LOT 18, BLOCK 42, GILMAN PARKAKA UNIT LOTS A-D, SP #3005664	Demo existing one family dwelling with detached garage. (STFI)	SINGLE FAMILY / DUPLEX	
	SASHA WELLAND	BALLARD ACRE TRACTS BEG AT A PT ON N LN OF W 58TH ST 289.69 FT NWLY FR SE COR OF TR 17 TH N 80 FT TH W TO A LN 50.19 FT W OF E LN OF TR 19 TH S TO N LN OF W 58TH ST TH SELY TO POB	BASEMENT REMODEL	SINGLE FAMILY / DUPLEX	$0.00
	STEPHENSON DESIGN COLLECTIVE	LOT 18 , BLOCK 1 , HAGLUNDS 1ST ADDITION	Construct 2-unit townhouse per plan. (Establish use and construct (1) 2-unit townhouse and (2) single family residences w/surface parking. Review & Processing for 3 AP's under 6458403)	SINGLE FAMILY / DUPLEX	$402,916.00
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE	D/B SOLUTIONS LLC		Install exhaust fans in bathroom and locker room, STFI	COMMERCIAL	
	CYNDAL MILLHOLLIN - NWPERMIT		WIRING (1) NON-ELE. FURNACE CIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	REED WRIGHT HTG & ELEC CO INC		REPLACE GAS BOILER WITH NEW	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, REFRIGERATION CONTRACTOR LIC.	FISCHER PLUMBING CO INC, THE		SPOT REPAIR ON SITE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SME INC OF SEATTLE		[A ONE-LINE DIAGRAM WILL BE REQUIRED ON SITE AT THE TIME OF INSPECTION OF ANY RENEWABLE ENERGY SYSTEM. ] PV SYSTEM ON ROOF	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	DELTA WYE ELECTRIC INC		WIRING FOR NEW TRIPLEX; BLDG PERMIT 6102498	MULTIFAMILY	
	CONFLUX ARCHITECTURE, INC.	LOT 14, BLK 2, OLSON LAND COS 1ST ADD	Demolish existing SFR. Construct (2) duplexes with parking for 6 cars.	SINGLE FAMILY / DUPLEX	$0.00
	NORTHWEST PERMIT INC.	S 1/2, LTS 5-6, BLK 28, BURNS & ATKINSONS ADD	Establish use as and construct single family residence with attached garage, per plan.	SINGLE FAMILY / DUPLEX	$450,296.00
ELECTRICAL CONTRACTOR LICENSE	SME INC OF SEATTLE		CHANGE OUT 200 AMP ZINSCO PANEL FOR A NEW 200 AMP PANEL.	SINGLE FAMILY / DUPLEX	
	AGILE DEVELOPMENT LLC	LOT 24, BLK 3, OLSON LAND COS 2ND ADD	Establish use as and construct single family residence and detached garage, per plan.	SINGLE FAMILY / DUPLEX	$334,357.00
	JACKSON MAIN ARCHITECTURE, PS		Renew 752472		
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	GENE JOHNSON PLUMBING & HEATNG		REPLACE SEWER	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	JOHNSON BACKHOE/DOZING SRV INC		SEWER REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	NORTHWEST ELECTRIC & SOLAR LLC		[A ONE-LINE DIAGRAM WILL BE REQUIRED ON SITE AT THE TIME OF INSPECTION OF ANY RENEWABLE ENERGY SYSTEM. A COVER INSPECTION IS REQUIRED BEFORE INSTALLATION BEGINS, BUT AFTER THE EQUIPMENT IS ON-SITE. ] INSTALL 3.51 KW SOLAR ARRAY ROOFTOP	SINGLE FAMILY / DUPLEX	
SPECIALTY CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	ON-GRADE EXCAVATING		RELINE SEWER & DRAINAGE CONNECTION	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ALL SEASONS INC		INSTALL 30-50AMP DEDICATED CIRCUIT FOR HEAT PUMP. REF MECHANICAL PERMIT 6173241.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	EVERGREEN POWER SYSTEMS, INC		JOB#3507 WAR-1402 - INSTALL EV CHARGING STATION.	SINGLE FAMILY / DUPLEX	
	BRETT MORROW	PARCEL B, SP #3020268	Establish use as townhouse and Construct two-family dwelling, per plan	SINGLE FAMILY / DUPLEX	$360,527.00
	CONFLUX ARCHITECTURE, INC.	LOT 20, BLOCK 9, GILMAN PARK ADD BLKS 01 THRU 47 &quot;A.K.A. UNIT LOTS A-C , SP #3018211&quot;	Establish use as and construct new duplex with surface parking, Per Plan	SINGLE FAMILY / DUPLEX	$322,767.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	JIM DANDY SEWER & PLUMBING		CLOSED AS INCOMPLETE - EXPIRED PERMIT. EMERGENCY SIDE SEWER REPAIR	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	JIM DANDY SEWER & PLUMBING		REPAIR SEWER SERVICE	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL	BOB'S HEATING & A/C INC		INSTALL NEW HVAC SYSTEM	SINGLE FAMILY / DUPLEX	
	LEDOUX CONSTRUCTION, LLC		Demolish existing single family residence with attached garage, per STFI	SINGLE FAMILY / DUPLEX	
	LEDOUX CONSTRUCTION, LLC	LOTS 17, BLOCK 1, GILMAN PARK ADD BLKS 01 THRU 47 AKA UNIT LOTS A-C OF SP 3019159	Construct south single family residence with attached garage (this permit), per plan. (Establish use as and construct three new single family residences / Review and processing for 3 AP's under 6407024)	SINGLE FAMILY / DUPLEX	$225,682.00
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	NORTHWEST ELECTRIC & SOLAR LLC		HALF AN HOUR INSPECTION FOR UNDERGROUND FEED PER RICH MEELL	COMMERCIAL	
	NOVION GROUP INC		Demolish existing structures. Construct (3) new single family residence structures with attached garages.	SINGLE FAMILY / DUPLEX	$0.00
	SEATTLE SCHOOL DISTRICT (A&S)		ELECTRICAL SUPPORTS FOR MECHANICAL UPGRADES, LIGHTING REVISIONS FOR GREEN LAKE ELEMENTARY	COMMERCIAL	
	ROOSEVELT DEVELOP GROUP LLC	LOT 1 & 2, BLOCK 2, COWENS UNIVERSITY PARK	Land Use Application to allow an 4-story, 41 unit apartment building with 1,320 sq. ft. of commercial space located at ground level. Parking for eight vehicles is to be provided. Existing single family structures to be demolished.	COMMERCIAL	
	EXXEL PACIFIC, INC.		PT concrete desck placements. 4 elevated decks, we'll be placing these in 2 segments each, 8 placements in all. Each deck will consist of 300+ cubic yds. Set pump truck on NE 65th St at 5:30am with concrete truck supplying from that side also, delivery starts at 6am. Although the variance allows 14-day window, we will only start early on the placement days.		
REFRIGERATION CONTRACTOR LIC.	SEATEMP LLC		INSTALL PIPING FOR WALK-IN COOLERS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SME INC OF SEATTLE		HOOK SIGN UP TO EXISTING POWER AND INSTALL A PROGRAMMABLE TIMER FOR IT.	COMMERCIAL	
GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	KINGS HEATING INCORPORATED		FURNACE CHANGE OUT IN SFR	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	GSC MECHANICAL		INSTALLING HOT WATER supply boiler, aka &quot;water heater&quot; (natural gas)	COMMERCIAL	
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	G B SYSTEMS INC		Closed as Incomplete - Expired Permit Add two 5-ton split heat pumps and ducts per plan.	COMMERCIAL	
	STUDIO19 ARCHITECTS	APN 276760-0045: LTS 9, 10 & 11, BLK 1, GILMAN PARK ADDITION	Alterations to replacing siding and windows and minor structural repairs to existing multi family building per plan.	MULTIFAMILY	$190,000.00
	TRIPLE POINT LLC		SEWER CONNECTION	MULTIFAMILY	
	SEATTLE PARKS DEPT	305070-0005 THE N 200' OF LTS 1 & 2, INCL THT PTN OF LT 2 FORMERLY MARY AV,VAC AS PROV BY ORD#104804BLK &quot;A&quot; HAMBLET'S ACRE GDNS,EXC W 45' COND FOR ST	REPLACE EXISTING NATATORIUM VENTILATION SYSTEM, MEZZANINE LADDER AND MISC. TENANT IMPROVEMENTS TO AN EXISTING BUILDING (BALLARD POOL), PER PLAN.	COMMERCIAL	$475,000.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	JIM DANDY SEWER & PLUMBING		SEWER REPAIR	SINGLE FAMILY / DUPLEX	
	DUET DESIGN & BUILD, LLC	LT 14, BLK E. BALCH HEND-RIKSONS VIEW RIDGE #15.	Construct addition and alterations to single family residence, per plans	SINGLE FAMILY / DUPLEX	$150,000.00
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	JIM DANDY SEWER & PLUMBING		SEWER REPAIR	SINGLE FAMILY / DUPLEX	
REFRIGERATION CONTRACTOR LIC., ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	PPS HEATING & A/C INC		INSTALL NEW GAS FURNACE & DUCTWORK ON NEW 2ND STORY RESIDENTIAL HOUSE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC.	REED WRIGHT HTG & ELEC CO INC		FURNACE CHANGE OUT GAS TO GAS	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	NORTHWEST ELECTRIC & SOLAR LLC		ADD/ALTER CIRCUITS	MULTIFAMILY	
	AIRD LLC	LOTS 6 & 7, BLK 28, GREAT NORTHERN ADDITION TO BALLARD,	Construct (2) story addition to existing single family residence, per plans	SINGLE FAMILY / DUPLEX	$80,000.00
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, REFRIGERATION CONTRACTOR LIC.	FISCHER PLUMBING CO INC, THE		SPOT REPAIR. 4/7/10 JCB; ADD WORK IN ROW.	SINGLE FAMILY / DUPLEX	
	DUET DESIGN & BUILD, LLC	LOTS 5 & 6, BLK 15, GREAT NORTHERN ADDITION TO BALLARD	Remove existing garage and construct detached garage accessory to single family dwelling, per plan	SINGLE FAMILY / DUPLEX	$0.00
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	TOTAL SIGN SERVICE		INSTALL (1) NON-ILLUMINATED WALL SIGN FOR &quot;THOMPSON TILE & STONE&quot;	COMMERCIAL	
	FU CHANG	Parcel A & B, SP #81-033; REC #8109140454	Construct alterations to existing minor communication facility (T Mobile), including replacement of 3 existing rooftop antennas, at existing multifamily structure, per plans.	COMMERCIAL	$15,000.00
GENERAL CONTRACTOR LICENSE	CHARTER CONST INC	ALL OF BLOCKS 21-28, ONEIDA GARDENS ADDITION REPLAT, TGW VACATED STREET BETWEEN	Construct/replace windows, siding and replace tight lines for down spout drainage to existing apartment building per plan.	MULTIFAMILY	$680,000.00
	RICHARD A FISHER ARCHITECTS		Second story addition over ex. garage and lowering of ex. porch	SINGLE FAMILY / DUPLEX	$0.00
ELECTRICAL CONTRACTOR LICENSE	WRIGHT ELECTRIC INCORPORATED		REPLACE PANEL	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	POINTER ELECTRIC INCORPORATED		RELOCATE / INSTALL NEW CIRCUITS FOR Q-ING OVEN AND TOASTER	COMMERCIAL	
	SEATTLE RESTAURANT GROUP, LLC	POR OF TRACT 1, KRIEGEL'S ACRE TRACTS, LYG SE OF HOLMAN RD NW	Establish Food Truck Service, per plans	COMMERCIAL	$0.00
